"filename", "language", "Dart", "YAML", "C++", "CMake", "Markdown", "Groovy", "XML", "Swift", "JSON", "Java Properties", "HTML", "Kotlin", "Java", "comment", "blank", "total"
"/home/mdd/文档/flutter/iot/linux/main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/mdd/文档/flutter/iot/linux/my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/home/mdd/文档/flutter/iot/linux/my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/home/mdd/文档/flutter/iot/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 4, 19
"/home/mdd/文档/flutter/iot/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/mdd/文档/flutter/iot/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"/home/mdd/文档/flutter/iot/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/home/mdd/文档/flutter/iot/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/home/mdd/文档/flutter/iot/pubspec.yaml", "YAML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 17, 100
"/home/mdd/文档/flutter/iot/test/widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/home/mdd/文档/flutter/iot/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 16, 6, 59
"/home/mdd/文档/flutter/iot/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"/home/mdd/文档/flutter/iot/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"/home/mdd/文档/flutter/iot/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/home/mdd/文档/flutter/iot/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/home/mdd/文档/flutter/iot/windows/runner/flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"/home/mdd/文档/flutter/iot/windows/runner/flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/home/mdd/文档/flutter/iot/windows/runner/main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/home/mdd/文档/flutter/iot/windows/runner/resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/home/mdd/文档/flutter/iot/windows/runner/utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/home/mdd/文档/flutter/iot/windows/runner/utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/home/mdd/文档/flutter/iot/windows/runner/win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"/home/mdd/文档/flutter/iot/windows/runner/win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 1080, 25, 502, 37, 13, 89, 475, 44, 248, 8, 37, 4, 13, 344, 379, 3298
